TimeStamp,"Symbol","Price","Change from the Close","Change from the Close","Volume Today","Volume Today","Relative Volume","Position in Range"
2026-04-06 18:27:02,"PFSA","1.6913","0.9333","123.12665","239879407","20101.834","1168.3311","-5.4150943"
2026-04-06 18:27:02,"MAXN","1.14","0.4561","66.691037","79024637","18529.767","529.91502","66.666138"
2026-04-06 18:27:02,"SMX","11","2.54","30.023641","21975383","6279.0576","52.827853","25.172414"
2026-04-06 18:27:02,"AIB","1.45","0.29","25","81223208","4811.924","1075.0067","-6.4516129"
2026-04-06 18:27:02,"BTBD","2.13","0.24","12.698413","6814037","969.19157","8.6341286","32.698596"
2026-04-06 18:27:02,"LNKS","2.1503","0.0753","3.6289157","6777354","596.4773","115.10452","47.080882"
2026-04-06 18:27:02,"WW","11.89","-2.38","-16.678346","1116899","330.49825","4.4238354","2.617801"
2026-04-06 18:27:02,"MNTS","3.52","0.24","7.3170732","3161858","295.31859","3.9441138","28.409091"
2026-04-06 18:27:02,"RENX","2.41","0.39","19.306931","13279883","143.63801","4.4484488","38.235294"
2026-04-06 18:27:02,"SKYQ","5.12","0.02","0.39215686","21318350","102.86406","9.0686591","31.413613"
2026-04-06 18:27:02,"AEHL","1.1699","0.0599","5.3963964","436231","100.71735","0.71335758","81.1875"
2026-04-06 18:27:02,"MRLN","7.3","-0.97","-11.729141","1365646","92.009163","1.8541294","27.272727"
2026-04-06 18:27:02,"BATL","4.17","-0.04","-0.95011876","10273143","56.508745","0.68091563","52.941176"
2026-04-06 18:27:02,"BOXL","1.26","0.16","14.545455","812212","56.314251","0.22272557","72.24229"
2026-04-06 18:27:02,"BDRX","3.84","-0.5264999","-12.05771","1076009","44.138273","4.6318207","60"
2026-04-06 18:27:02,"TURB","3.06","-0.12","-3.7735849","2575143","39.717446","0.97678936","43.636364"
2026-04-06 18:27:02,"NCT","1.6","-1.16","-42.028986","336693","38.118447","10.227923","-58.357649"
2026-04-06 18:27:02,"WNW","4.14","-0.92","-18.181818","306785","37.782428","7.1957827","15.686275"
2026-04-06 18:27:02,"TMDE","1.68","-0.19","-10.160428","3513792","36.891862","1.1764585","8"
2026-04-06 18:27:02,"ELAB","3.39","-2.33","-40.734266","7928726","27.67001","3.2776373","-22.142857"
2026-04-06 18:27:02,"GLND","7.68","-0.45","-5.5350554","1154855","24.489396","0.41749996","68.181818"
2026-04-06 18:27:02,"CYCN","3.91","-2.24","-36.422764","3036764","10.990342","3.3661297","-8.8339223"
2026-04-06 18:27:02,"SST","3.63","0.06","1.6806723","1326937","10.185416","2.0225509","32.930845"
2026-04-06 18:27:02,"ONCO","1.45","-0.07","-4.6052632","600209","7.697946","2.3597388","31.578947"
2026-04-06 18:27:02,"MASK","1.92","-0.22","-10.280374","730820","5.5393419","0.39458162","21.0414"
2026-04-06 18:27:02,"UGRO","19.71","0.71","3.7368421","801310","2.6581452","0.26992604","35.96912"
2026-04-06 18:27:02,"EEIQ","8.23","0.98","13.517241","348248","2.4439917","0.50340423","61.306533"
