TimeStamp,"Symbol","Price","Change from the Close","Volume Today","Earnings Date","Change from 20 Day SMA","Change from 50 Day SMA","Change from 10 Day SMA","Change from 200 Day SMA","Position in Year Range","Position in Lifetime Range","Change from the Close"
2026-09-13 19:07:20,"ACVA","10.45","44.7368","731.986","","42.7986","40.5968","48.7756","56.45","91.7767","18.9438","3.23"
2026-09-13 19:07:20,"RWT","3.615","-0.413223","98.4287","","-21.1129","-23.4532","-17.9714","-32.8273","10.5309","9.29427","-0.015"
2026-09-13 19:07:20,"TENB","31.9","-0.405869","87.7189","","-9.55999","-11.6955","-9.19184","21.9074","57.8816","33.7788","-0.13"
