TimeStamp,"Symbol","Price","Change from the Close","Volume Today","Earnings Date"
2026-09-22 23:59:48,"CX","10.23","2.0958084","193.44981","24.25"
2026-09-22 23:59:48,"VOR","22","0.50251256","192.68569",""
2026-09-22 23:59:48,"CRML","8.47","-9.2175777","191.93047",""
2026-09-22 23:59:48,"NUAI","6.92","-9.5424837","190.19292",""
2026-09-22 23:59:48,"LTH","38.0816","-4.5813079","189.70311","22.25"
2026-09-22 23:59:48,"CSCO","106.3841","-4.5540104","189.06542",""
2026-09-22 23:59:48,"TRP","59.78","-1.1574074","188.78996","36.25"
2026-09-22 23:59:48,"NEXT","6.8452","-2.4900285","187.28859",""
2026-09-22 23:59:48,"KBH","47.85","-0.020894275","187.24587","0.75"
2026-09-22 23:59:48,"GEN","27.05","-7.2041166","186.31418",""
2026-09-22 23:59:48,"VLO","377.25","-4.0735346","183.6672","22.25"
2026-09-22 23:59:48,"MRNA","182.3292","5.4291647","183.62828","27.25"
2026-09-22 23:59:48,"IBRX","9.2899","9.939645","182.73155","32.25"
2026-09-22 23:59:48,"UBS","49.24","-3.564434","182.45152","26.25"
2026-09-22 23:59:48,"MGTX","12.35","-5.5810398","181.33962",""
