TimeStamp,"Symbol","Price","Change from the Close","Change from the Close","Volume Today","Volume Today","Relative Volume","Position in Range"
2026-03-09 11:06:52,"IOT","35.23","5.65","19.1007","33318414","424.611","4.86764","92.1403"
2026-03-09 11:06:52,"BP","40.44","1.14","2.90076","23614413","241.673","2.87112","87.608"
2026-03-09 11:06:52,"JD","27.08","1.61","6.32116","22773777","199.091","3.08756","76.9231"
2026-03-09 11:06:52,"XPEV","17.3","0.96","5.87515","9476916","173.869","2.11062","86.0215"
2026-03-09 11:06:52,"EQNR","33.59","1.83","5.76196","10963589","164.23","2.35011","95.7082"
2026-03-09 11:06:52,"KR","74.11","2.54","3.54897","10598706","154.406","2.1479","77.6256"
2026-03-09 11:06:52,"SHEL","85.15","2.21","2.66458","9917348","147.235","1.81509","99.5614"
2026-03-09 11:06:52,"GWRE","169.01","8.17","5.07958","3403684","146.895","2.41704","78.7781"
2026-03-09 11:06:52,"TCOM","54.01","2.05","3.94534","5921994","144.585","1.8502","85.5305"
2026-03-09 11:06:52,"CHRD","121.36","2.07","1.73527","1935427","144.365","3.39692","67.6471"
2026-03-09 11:06:52,"AESI","11.79","0.47","4.15194","4881088","143.15","2.61235","73.494"
2026-03-09 11:06:52,"MTDR","56.32","1.31","2.38139","2732390","115.782","2.10732","86.7052"
2026-03-09 11:06:52,"PSX","165.96","-0.48","-0.288392","3450970","115.655","2.1397","70.0627"
