TimeStamp,"Symbol","Gap","Float Turnover","Float","Change from the Open","Market Cap","Price","Change from the Close","Change from the Close"
2026-09-23 12:07:50,"BENF","435.018","70.6954","2330000","-5.20833","42205800","2.73","407.152","2.1917"
2026-09-23 12:07:50,"WHLR","178.61","52.117","567777","11.9962","3308445","5.835","212.032","3.965"
2026-09-23 12:07:50,"IPDN","77.1795","29.0066","664000","2.60492","4714850","7.09","81.7949","3.19"
