TimeStamp,"Symbol","Price","Change from the Close","Change from the Close","Volume Today","Volume Today","Relative Volume","Position in Range"
2026-04-13 23:59:55,"RVMD","136.1499","39.7199","41.190397","14717548","872.61173","12.489518","93.366327"
2026-04-13 23:59:55,"FORM","129.8","6","4.8465267","4209400","338.6201","4.4720241","58.361708"
2026-04-13 23:59:55,"GFL","39.1","-3.98","-9.2386258","6273394","323.68817","5.7406134","23.404255"
2026-04-13 23:59:55,"HTHT","53","0.52","0.99085366","4757772","315.37309","4.1174472","111.42857"
2026-04-13 23:59:55,"ERAS","16.5","-0.51","-2.9982363","14070434","302.19394","3.9383349","62.5"
2026-04-13 23:59:55,"ORCL","158.8","20.71","14.997465","49997827","241.14066","2.5095791","117.85053"
2026-04-13 23:59:55,"KMX","48.71","1.99","4.2594178","6698443","238.79414","3.580307","76.898734"
2026-04-13 23:59:55,"FAST","45.85","-3.32","-6.7520846","16217619","224.41602","3.509202","15.549598"
2026-04-13 23:59:55,"ALAB","168.3","19.25","12.915129","10035178","207.39015","2.9942518","105.32537"
2026-04-13 23:59:55,"REXR","34.4236","0.4636","1.3651355","4494726","205.09347","2.935475","72.042781"
2026-04-13 23:59:55,"CSGP","37.45","0.97","2.6589912","11553967","204.60363","3.3098099","107.56972"
2026-04-13 23:59:55,"BBVA","22.9701","-0.0899","-0.38985256","3738981","199.44019","2.1610608","22.050847"
2026-04-13 23:59:55,"VISN","19.3","0.33","1.7395888","8771762","192.05516","2.8241237","85.90604"
2026-04-13 23:59:55,"CRDO","147","27.41","22.919977","10404270","186.933","1.8655856","188.54415"
2026-04-13 23:59:55,"SGI","80.43","2.37","3.0361261","5682955","185.85675","3.4647982","88.657648"
2026-04-13 23:59:55,"BAX","17.64","0.49","2.8571429","12110227","185.72344","1.9690392","95.402299"
2026-04-13 23:59:55,"ALB","185.5","11.860001","6.8302238","2960204","185.5391","2.21836","72.695035"
2026-04-13 23:59:55,"TMHC","60.3","0.89","1.4980643","2446448","183.99409","3.5013031","93.939394"
2026-04-13 23:59:55,"PTC","134.26","0.82","0.61450839","1817477","181.52044","2.6778995","73.580786"
2026-04-13 23:59:55,"BROS","53.15","-2.73","-4.8854689","6429185","178.9785","2.5417495","47.87234"
