TimeStamp,"Symbol","Price","Change from the Close","Change from the Close","Volume Today","Volume Today","Relative Volume","Position in Range"
2026-03-16 22:14:06,"XENE","61.585","19.645","46.8407","8973345","840.697","25.814","72.9415"
2026-03-16 22:14:06,"HIMS","21.85","6.11","38.8183","128005419","400.74","7.1582","34.6457"
2026-03-16 22:14:06,"DNTH","79.0484","13.8484","21.2399","2910805","317.469","8.71357","15.2828"
2026-03-16 22:14:06,"VRT","264.25","22.47","9.29357","12663958","203.566","3.72763","84.5565"
2026-03-16 22:14:06,"KC","14.205","2.215","18.4737","2799368","175.485","3.27219","96.2121"
2026-03-16 22:14:06,"XPEV","18.38","1.06","6.12009","10530275","170.825","3.57295","52.809"
2026-03-16 22:14:06,"LYV","165.375","9.245","5.92135","5082384","153.604","4.75887","68.5652"
2026-03-16 22:14:06,"LAUR","33.43","1.76","5.55731","2269609","152.228","6.12754","88.3041"
2026-03-16 22:14:06,"CTRA","31.465","0.435","1.40187","10665609","148.916","2.34085","32.2785"
2026-03-16 22:14:06,"LAZ","41.23","-3.41","-7.63889","1925546","145.26","4.76782","19.6137"
2026-03-16 22:14:06,"MEOH","53.87","4.04","8.10757","1355249","139.752","4.46209","70.9906"
2026-03-16 22:14:06,"PBR","18.24","0.64","3.63636","38356777","130.944","2.4614","51.4286"
2026-03-16 22:14:06,"CF","117.8","2.02","1.74469","5484724","127.745","4.43179","48.5199"
2026-03-16 22:14:06,"DAL","58.52","-0.49","-0.830368","14867327","125.913","3.30733","88.5246"
2026-03-16 22:14:06,"UAL","90.06","-2.01","-2.18312","9863956","124.726","3.31242","90.3879"
2026-03-16 22:14:06,"GTLS","206.875","-0.285","-0.137575","2076660","124.287","3.34156","25.3012"
2026-03-16 22:14:06,"ELF","75.15","-7.29","-8.84279","2182048","122.676","2.00894","25.52"
2026-03-16 22:14:06,"BP","40.985","0.545","1.34768","13485250","118.293","2.30343","84.8485"
2026-03-16 22:14:06,"MASI","175.32","-0.1","-0.057006","1968588","115.317","2.40499","6.89655"
2026-03-16 22:14:06,"CCL","25.03","-0.76","-2.94688","28310574","113.192","2.61765","89.6552"
2026-03-16 22:14:06,"WDS","22.11","-0.23","-1.02954","1415788","111.764","3.00676","89.0909"
2026-03-16 22:14:06,"LNTH","77.59","5.03","6.93219","1301505","111.742","4.45257","94.3345"
2026-03-16 22:14:06,"OXY","55.1301","0.9401","1.73482","19485640","110.466","2.57439","52.2438"
2026-03-16 22:14:06,"DOW","35.505","2.225","6.6857","15150884","110.1","2.24134","81.0706"
2026-03-16 22:14:06,"DVN","45.16","0.68","1.52878","12956783","109.025","2.24366","24.3243"
2026-03-16 22:14:06,"CHRD","125.25","3.89","3.20534","1405765","107.793","4.30541","54.3478"
2026-03-16 22:14:06,"FLS","75.49","-0.74","-0.970746","1601220","105.41","2.87923","93.6"
2026-03-16 22:14:06,"OVV","53.63","1.38","2.64115","5679145","105.226","2.3457","55.9078"
2026-03-16 22:14:06,"DRI","197.12","-6.06","-2.98258","1222173","105.068","2.80766","48.3108"
2026-03-16 22:14:06,"CMCSA","30.875","-1.035","-3.2435","26205980","101.394","2.02272","31.3953"
2026-03-16 22:14:06,"SHC","14.45","-0.21","-1.43247","3062950","100.9","5.20819","61.165"
2026-03-16 22:14:06,"JEF","37.21","-1.08","-2.82058","3543761","99.6341","2.94856","68.9815"
2026-03-16 22:14:06,"RDDT","136.18","-3.21","-2.30289","4675135","99.3878","1.42206","59.9364"
2026-03-16 22:14:06,"TS","52.78","0.25","0.475919","1578498","97.4706","1.90802","79.5181"
2026-03-16 22:14:06,"BR","189.235","-7.645","-3.88308","1212636","97.0721","2.50825","6.87554"
2026-03-16 22:14:06,"TEVA","30.765","-0.285","-0.917874","6690553","96.5849","1.59544","89.8936"
2026-03-16 22:14:06,"WFRD","86.6","-4.2","-4.62555","1132970","95.5756","2.54676","14.881"
2026-03-16 22:14:06,"LIF","47.91","2.83","6.27773","1267592","95.4138","2.94321","97.3466"
2026-03-16 22:14:06,"STM","32.085","0.725","2.31186","6496758","95.0177","1.37886","91.0543"
